ka	か
nyj	にゅん
nyd	にぇん
nyl	にょん
nyq	にゃい
nyh	にゅう
nyw	にぇい
nyp	にょう
hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
hyz	ひゃん
hyn	ひゃん
hyk	ひぃん
hyj	ひゅん
hyd	ひぇん
hyl	ひょん
hyq	ひゃい
hyh	ひゅう
hyw	ひぇい
hyp	ひょう
mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ
myz	みゃん
myn	みゃん
myk	みぃん
myj	みゅん
myd	みぇん
myl	みょん
myq	みゃい
myh	みゅう
myw	みぇい
myp	みょう
rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ
ryz	りゃん
ryn	りゃん
ryk	りぃん
ryj	りゅん
ryd	りぇん
ryl	りょん
ryq	りゃい
ryh	りゅう
ryw	りぇい
ryp	りょう
gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
gyz	ぎゃん
gyn	ぎゃん
gyk	ぎぃん
gyj	ぎゅん
gyd	ぎぇん
gyl	ぎょん
gyq	ぎゃい
gyh	ぎゅう
gyw	ぎぇい
gyp	ぎょう
zya	じゃ
zyi	じぃ
zyu	じゅ
zye	じぇ
zyo	じょ
zyz	じゃん
zyn	じゃん
zyk	じぃん
zyj	じゅん
zyd	じぇん
zyl	じょん
zyq	じゃい
zyh	じゅう
zyw	じぇい
zyp	じょう
dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ
dyz	ぢゃん
dyn	ぢゃん
dyk	ぢぃん
dyj	ぢゅん
dyd	ぢぇん
dyl	ぢょん
dyq	ぢゃい
dyh	ぢゅう
dyw	ぢぇい
dyp	ぢょう
bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ
byz	びゃん
byn	びゃん
byk	びぃん
byj	びゅん
byd	びぇん
byl	びょん
byq	びゃい
byh	びゅう
byw	びぇい
byp	びょう
pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ
pyz	ぴゃん
pyn	ぴゃん
pyk	ぴぃん
pyj	ぴゅん
pyd	ぴぇん
pyl	ぴょん
pyq	ぴゃい
pyh	ぴゅう
pyw	ぴぇい
pyp	ぴょう
kga	きゃ
kgi	きぃ
kgu	きゅ
kge	きぇ
kgo	きょ
kgz	きゃん
kgn	きゃん
kgk	きぃん
kgj	きゅん
kgd	きぇん
kgl	きょん
kgq	きゃい
kgh	きゅう
kgw	きぇい
kgp	きょう
nga	にゃ
ngi	にぃ
ngu	にゅ
nge	にぇ
ngo	にょ
ngz	にゃん
ngn	にゃん
ngk	にぃん
ngj	にゅん
ngd	にぇん
ngl	にょん
ngq	にゃい
ngh	にゅう
ngw	にぇい
ngp	にょう
hga	ひゃ
hgi	ひぃ
hgu	ひゅ
hge	ひぇ
hgo	ひょ
hgz	ひゃん
hgn	ひゃん
hgk	ひぃん
hgj	ひゅん
hgd	ひぇん
hgl	ひょん
hgq	ひゃい
hgh	ひゅう
hgw	ひぇい
hgp	ひょう
mga	みゃ
mgi	みぃ
mgu	みゅ
mge	みぇ
mgo	みょ
mgz	みゃん
mgn	みゃん
mgk	みぃん
mgj	みゅん
mgd	みぇん
mgl	みょん
mgq	みゃい
mgh	みゅう
mgw	みぇい
mgp	みょう
pga	ぴゃ
pgi	ぴぃ
pgu	ぴゅ
pge	ぴぇ
pgo	ぴょ
pgz	ぴゃん
pgn	ぴゃん
pgk	ぴぃん
pgj	ぴゅん
pgd	ぴぇん
pgl	ぴょん
pgq	ぴゃい
pgh	ぴゅう
pgw	ぴぇい
pgp	ぴょう
xa	しゃ
xi	し
xu	しゅ
xe	しぇ
xo	しょ
xz	しゃん
xn	しゃん
xk	しん
xj	しゅん
xd	しぇん
xl	しょん
xq	しゃい
xh	しゅう
xw	しぇい
xp	しょう
ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ
jz	じゃん
jn	じゃん
jk	じん
jj	じゅん
jd	じぇん
jl	じょん
jq	じゃい
jh	じゅう
jw	じぇい
jp	じょう
jya	じゃ
jyi	じぃ
jyu	じゅ
jye	じぇ
jyo	じょ
jyz	じゃん
jyn	じゃん
jyk	じぃん
jyj	じゅん
jyd	じぇん
jyl	じょん
jyq	じゃい
jyh	じゅう
jyw	じぇい
jyp	じょう
jga	じゃ
jgi	じぃ
jgu	じゅ
jge	じぇ
jgo	じょ
jgz	じゃん
jgn	じゃん
jgk	じぃん
jgj	じゅん
jgd	じぇん
jgl	じょん
jgq	じゃい
jgh	じゅう
jgw	じぇい
jgp	じょう
ca	ちゃ
ci	ち
cu	ちゅ
ce	ちぇ
co	ちょ
cz	ちゃん
cn	ちゃん
ck	ちん
cj	ちゅん
cd	ちぇん
cl	ちょん
cq	ちゃい
ch	ちゅう
cw	ちぇい
cp	ちょう
tga	てゃ
tgi	てぃ
tgu	とぅ
tge	てぇ
tgo	てょ
tgz	てゃん
tgn	てゃん
tgk	てぃん
tgj	てゅん
tgd	てぇん
tgl	てょん
tgq	てゃい
tgh	とぅー
tgw	てぇい
tgp	てょう
dca	でゃ
dci	でぃ
dcu	どぅ
dce	でぇ
dco	でょ
dcz	でゃん
dcn	でゃん
dck	でぃん
dcj	でゅん
dcd	でぇん
dcl	でょん
dcq	でゃい
dch	どぅー
dcw	でぇい
dcp	でょう
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
fz	ふぁん
fn	ふぁん
fk	ふぃん
fj	ふん
fd	ふぇん
fl	ふぉん
fq	ふぁい
fh	ふう
fw	ふぇい
fp	ふぉー
va	ヴぁ
vi	ヴぃ
vu	ヴ
ve	ヴぇ
vo	ヴぉ
vz	ヴぁん
vn	ヴぁん
vk	ヴぃん
vj	ヴん
vd	ヴぇん
vl	ヴぉん
vq	ヴぁい
vh	ヴー
vw	ヴぇい
vp	ヴぉー
fya	ふゃ
fyi	ふぃ
fyu	ふゅ
fye	ふぇ
fyo	ふょ
fyz	ふゃん
fyn	ふゃん
fyk	ふぃん
fyj	ふゅん
fyd	ふぇん
fyl	ふょん
fyq	ふゃい
fyh	ふゅー
fyw	ふぇい
fyp	ふょう
vya	ヴゃ
vyi	ヴぃ
vyu	ヴゅ
vye	ヴぇ
vyo	ヴょ
vyz	ヴゃん
vyn	ヴゃん
vyk	ヴぃん
vyj	ヴゅん
vyd	ヴぇん
vyl	ヴょん
vyq	ヴゃい
vyh	ヴゅー
vyw	ヴぇい
vyp	ヴょう
wsa	うぁ
wsi	うぃ
wsu	う
wse	うぇ
wso	うぉ
wsz	うぁん
wsn	うぁん
wsk	うぃん
wsj	うん
wsd	うぇん
wsl	うぉん
wsq	うぁい
wsh	うー
wsw	うぇい
wsp	うぉー
a	あ
i	い
u	う
e	え
o	お
q	ん
nn	ん
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
lya	ゃ
lyu	ゅ
lyo	ょ
lga	ゃ
lgu	ゅ
lgo	ょ
ltu	っ
lka	ヵ
lke	ヶ
lwa	ゎ
;	っ
:	ー
-	ー
,	、
.	。
/	・
[	「
]	」
z/	・
z,	‥
z.	…
z[	『
z]	』
z:	〜
z-	〜
kf	き
jf	じゅ
hf	ふ
yf	ゆ
kyf	ぴゅ
syf	しゅ
tyf	ちゅ
nyf	にゅ
hyf	ひゅ
myf	みゅ
ryf	りゅ
gyf	ぎゅ
zyf	じゅ
dyf	ぢゅ
byf	びゅ
pyf	ぴゅ
jyf	じゅ
mf	む
nf	ぬ
df	で
lf	ぉ
cf	ちぇ
dcf	でぇ
pf	ぽん
wf	わい
sf	さい
wsf	うぁい
zc	ざ
zf	ぜ
xc	しゃ
xf	しぇ
xv	しゃい
ss	せい
xx	しぇい
wss	うぇい
zv	ざい
zx	ぜい
kt	こと
st	した
tt	たち
ht	ひと
wt	わた
mn	もの
ms	ます
ds	です
km	かも
tm	ため
dm	でも
kr	から
sr	する
tr	たら
nr	なる
yr	よる
rr	られ
zr	ざる
mt	また
tb	たび
nb	ねば
bt	びと
gr	がら
gt	ごと
nt	にち
dt	だち
wr	われ
