,a,i,u,e,o,z,n,k,j,d,l,q,h,w,p
hy,ひゃ,ひぃ,ひゅ,ひぇ,ひょ,ひゃん,ひゃん,ひぃん,ひゅん,ひぇん,ひょん,ひゃい,ひゅう,ひぇい,ひょう
my,みゃ,みぃ,みゅ,みぇ,みょ,みゃん,みゃん,みぃん,みゅん,みぇん,みょん,みゃい,みゅう,みぇい,みょう
ry,りゃ,りぃ,りゅ,りぇ,りょ,りゃん,りゃん,りぃん,りゅん,りぇん,りょん,りゃい,りゅう,りぇい,りょう
gy,ぎゃ,ぎぃ,ぎゅ,ぎぇ,ぎょ,ぎゃん,ぎゃん,ぎぃん,ぎゅん,ぎぇん,ぎょん,ぎゃい,ぎゅう,ぎぇい,ぎょう
zy,じゃ,じぃ,じゅ,じぇ,じょ,じゃん,じゃん,じぃん,じゅん,じぇん,じょん,じゃい,じゅう,じぇい,じょう
dy,ぢゃ,ぢぃ,ぢゅ,ぢぇ,ぢょ,ぢゃん,ぢゃん,ぢぃん,ぢゅん,ぢぇん,ぢょん,ぢゃい,ぢゅう,ぢぇい,ぢょう
by,びゃ,びぃ,びゅ,びぇ,びょ,びゃん,びゃん,びぃん,びゅん,びぇん,びょん,びゃい,びゅう,びぇい,びょう
py,ぴゃ,ぴぃ,ぴゅ,ぴぇ,ぴょ,ぴゃん,ぴゃん,ぴぃん,ぴゅん,ぴぇん,ぴょん,ぴゃい,ぴゅう,ぴぇい,ぴょう
kg,きゃ,きぃ,きゅ,きぇ,きょ,きゃん,きゃん,きぃん,きゅん,きぇん,きょん,きゃい,きゅう,きぇい,きょう
ng,にゃ,にぃ,にゅ,にぇ,にょ,にゃん,にゃん,にぃん,にゅん,にぇん,にょん,にゃい,にゅう,にぇい,にょう
hg,ひゃ,ひぃ,ひゅ,ひぇ,ひょ,ひゃん,ひゃん,ひぃん,ひゅん,ひぇん,ひょん,ひゃい,ひゅう,ひぇい,ひょう
mg,みゃ,みぃ,みゅ,みぇ,みょ,みゃん,みゃん,みぃん,みゅん,みぇん,みょん,みゃい,みゅう,みぇい,みょう
pg,ぴゃ,ぴぃ,ぴゅ,ぴぇ,ぴょ,ぴゃん,ぴゃん,ぴぃん,ぴゅん,ぴぇん,ぴょん,ぴゃい,ぴゅう,ぴぇい,ぴょう
x,しゃ,し,しゅ,しぇ,しょ,しゃん,しゃん,しん,しゅん,しぇん,しょん,しゃい,しゅう,しぇい,しょう
j,じゃ,じ,じゅ,じぇ,じょ,じゃん,じゃん,じん,じゅん,じぇん,じょん,じゃい,じゅう,じぇい,じょう
jy,じゃ,じぃ,じゅ,じぇ,じょ,じゃん,じゃん,じぃん,じゅん,じぇん,じょん,じゃい,じゅう,じぇい,じょう
jg,じゃ,じぃ,じゅ,じぇ,じょ,じゃん,じゃん,じぃん,じゅん,じぇん,じょん,じゃい,じゅう,じぇい,じょう
c,ちゃ,ち,ちゅ,ちぇ,ちょ,ちゃん,ちゃん,ちん,ちゅん,ちぇん,ちょん,ちゃい,ちゅう,ちぇい,ちょう
tg,てゃ,てぃ,とぅ,てぇ,てょ,てゃん,てゃん,てぃん,てゅん,てぇん,てょん,てゃい,とぅー,てぇい,てょう
dc,でゃ,でぃ,どぅ,でぇ,でょ,でゃん,でゃん,でぃん,でゅん,でぇん,でょん,でゃい,どぅー,でぇい,でょう
f,ふぁ,ふぃ,ふ,ふぇ,ふぉ,ふぁん,ふぁん,ふぃん,ふん,ふぇん,ふぉん,ふぁい,ふう,ふぇい,ふぉー
v,ヴぁ,ヴぃ,ヴ,ヴぇ,ヴぉ,ヴぁん,ヴぁん,ヴぃん,ヴん,ヴぇん,ヴぉん,ヴぁい,ヴー,ヴぇい,ヴぉー
fy,ふゃ,ふぃ,ふゅ,ふぇ,ふょ,ふゃん,ふゃん,ふぃん,ふゅん,ふぇん,ふょん,ふゃい,ふゅー,ふぇい,ふょう
vy,ヴゃ,ヴぃ,ヴゅ,ヴぇ,ヴょ,ヴゃん,ヴゃん,ヴぃん,ヴゅん,ヴぇん,ヴょん,ヴゃい,ヴゅー,ヴぇい,ヴょう
ws,うぁ,うぃ,う,うぇ,うぉ,うぁん,うぁん,うぃん,うん,うぇん,うぉん,うぁい,うー,うぇい,うぉー
